
Goodness-of-fit for in-degree 

           obs min   mean max MC p-value
idegree1    62  37 48.375  67       0.08
idegree2    33  25 38.635  59       0.38
idegree3    39  14 27.470  44       0.03
idegree4    23  13 22.920  38       1.00
idegree5    12   7 16.580  29       0.31
idegree6    12   9 14.665  25       0.50
idegree7     9   6 13.050  22       0.18
idegree8    11   4 12.385  26       0.86
idegree9    11   2  8.515  18       0.52
idegree10    7   1  6.035  15       0.79
idegree11    1   0  5.640  12       0.09
idegree12    3   0  4.390  11       0.79
idegree13    1   0  3.640   9       0.31
idegree14    2   0  2.275   7       1.00
idegree15    1   0  1.595   6       1.00
idegree16    1   0  1.050   5       1.00
idegree17    1   0  1.065   5       1.00
idegree18    1   0  0.915   4       1.00
idegree19    3   0  0.750   3       0.05
idegree20    1   0  0.560   3       0.93
idegree21    1   0  0.555   2       0.95
idegree22    1   0  0.560   3       0.88
idegree23    0   0  0.620   3       1.00
idegree24    1   0  0.620   3       0.99
idegree25    1   0  0.655   3       1.00
idegree26    0   0  0.865   4       0.78
idegree27    2   0  0.830   4       0.40
idegree28    1   0  1.000   5       1.00
idegree29    2   0  1.220   5       0.68
idegree30    0   0  1.305   5       0.55
idegree31    0   0  1.260   5       0.54
idegree32    1   0  1.160   5       1.00
idegree33    0   0  1.125   4       0.57
idegree34    2   0  0.660   4       0.29
idegree35    0   0  0.610   4       1.00
idegree36    0   0  0.575   3       1.00
idegree37    0   0  0.625   3       1.00
idegree38    0   0  0.555   3       1.00
idegree39    1   0  0.600   3       1.00
idegree40    2   0  0.605   3       0.27
idegree41    0   0  0.630   3       1.00
idegree42    0   0  0.770   4       0.89
idegree43    3   0  0.920   4       0.16
idegree44    1   0  1.095   5       1.00
idegree45    1   0  1.135   5       1.00
idegree46    1   0  0.985   5       1.00
idegree47    1   0  1.085   4       1.00
idegree48    0   0  1.025   4       0.65
idegree49    0   0  0.935   4       0.73
idegree50    1   0  0.725   4       1.00
idegree51    0   0  0.575   3       1.00
idegree52    1   0  0.540   3       0.83
idegree53    0   0  0.485   3       1.00
idegree54    0   0  0.230   2       1.00
idegree55    0   0  0.205   2       1.00
idegree56    0   0  0.150   2       1.00
idegree57    0   0  0.155   2       1.00
idegree58    0   0  0.190   2       1.00
idegree59    0   0  0.170   2       1.00
idegree60    0   0  0.215   2       1.00
idegree61    1   0  0.275   2       0.50
idegree62    1   0  0.300   2       0.54
idegree63    0   0  0.460   2       1.00
idegree64    1   0  0.415   3       0.73
idegree65    0   0  0.575   2       1.00
idegree66    0   0  0.455   2       1.00
idegree67    0   0  0.290   2       1.00
idegree68    0   0  0.170   2       1.00
idegree69    0   0  0.125   1       1.00
idegree70    0   0  0.100   2       1.00
idegree71    0   0  0.130   1       1.00
idegree72    1   0  0.075   1       0.15
idegree73    0   0  0.090   1       1.00
idegree74    1   0  0.090   1       0.18
idegree75    0   0  0.130   1       1.00
idegree76    0   0  0.130   2       1.00
idegree77    0   0  0.195   2       1.00
idegree78    0   0  0.220   2       1.00
idegree79    0   0  0.275   2       1.00
idegree80    0   0  0.140   1       1.00
idegree81    1   0  0.150   2       0.28
idegree82    0   0  0.155   1       1.00
idegree83    0   0  0.115   1       1.00
idegree84    0   0  0.055   1       1.00
idegree85    0   0  0.070   1       1.00
idegree86    0   0  0.025   1       1.00
idegree87    0   0  0.010   1       1.00
idegree88    0   0  0.010   1       1.00
idegree89    0   0  0.020   1       1.00
idegree90    0   0  0.015   1       1.00
idegree93    0   0  0.010   1       1.00
idegree94    0   0  0.020   1       1.00
idegree95    0   0  0.110   1       1.00
idegree96    0   0  0.130   1       1.00
idegree97    0   0  0.120   1       1.00
idegree98    0   0  0.215   1       1.00
idegree99    0   0  0.255   2       1.00
idegree100   1   0  0.285   2       0.55
idegree101   0   0  0.375   2       1.00
idegree102   0   0  0.275   2       1.00
idegree103   0   0  0.195   2       1.00
idegree104   0   0  0.165   2       1.00
idegree105   0   0  0.285   2       1.00
idegree106   0   0  0.310   2       1.00
idegree107   0   0  0.370   2       1.00
idegree108   0   0  0.420   2       1.00
idegree109   2   0  0.215   2       0.04
idegree110   0   0  0.155   2       1.00
idegree111   1   0  0.070   1       0.14
idegree112   0   0  0.115   1       1.00
idegree113   0   0  0.255   2       1.00
idegree114   0   0  0.405   2       1.00
idegree115   0   0  0.425   2       1.00
idegree116   0   0  0.345   2       1.00
idegree117   1   0  0.420   2       0.75
idegree118   1   0  0.485   3       0.76
idegree119   0   0  0.360   2       1.00
idegree120   0   0  0.445   2       1.00
idegree121   0   0  0.440   3       1.00
idegree122   2   0  0.615   2       0.18
idegree123   0   0  0.460   3       1.00
idegree124   1   0  0.170   1       0.34
idegree125   0   0  0.040   1       1.00
idegree126   0   0  0.015   1       1.00
idegree127   0   0  0.150   2       1.00
idegree128   0   0  0.265   1       1.00
idegree129   1   0  0.125   1       0.25
idegree130   0   0  0.200   1       1.00
idegree131   0   0  0.080   1       1.00
idegree132   0   0  0.120   1       1.00
idegree133   0   0  0.085   1       1.00

Goodness-of-fit for out-degree 

          obs min   mean max MC p-value
odegree1  105  91 99.065 110       0.23
odegree2   13   5 13.295  22       1.00
odegree3    0   0  3.855  13       0.01
odegree4    4   0  1.595   6       0.21
odegree5    5   0  1.205   5       0.01
odegree6    2   0  1.355   4       0.82
odegree7    1   0  1.185   6       1.00
odegree8    3   0  1.575   6       0.38
odegree9    1   0  1.825   6       0.89
odegree10   1   0  2.165   6       0.72
odegree11   5   0  2.470   7       0.17
odegree12   2   0  2.545   9       1.00
odegree13   7   0  2.860   9       0.05
odegree14   3   0  3.110   9       1.00
odegree15   5   1  4.400   9       0.94
odegree16   4   0  5.380  14       0.74
odegree17   2   1  6.050  14       0.07
odegree18  11   0  6.420  12       0.10
odegree19   7   1  7.450  14       1.00
odegree20   2   3  8.805  15       0.00
odegree21   7   2  9.215  18       0.56
odegree22  10   2  9.030  17       0.79
odegree23   4   3  9.600  17       0.03
odegree24  12   3  9.375  16       0.38
odegree25   9   2  8.555  17       0.96
odegree26   6   2  7.510  13       0.63
odegree27   8   3  7.715  15       1.00
odegree28   5   1  6.415  13       0.73
odegree29   3   1  5.230  12       0.48
odegree30   2   0  4.190  11       0.43
odegree31   4   0  4.070  10       1.00
odegree32   7   0  3.235   8       0.04
odegree33   6   0  2.895   8       0.11
odegree34   2   0  2.410   7       1.00
odegree35   2   0  1.605   6       1.00
odegree36   1   0  1.400   4       1.00
odegree37   2   0  0.980   5       0.47
odegree38   0   0  1.075   4       0.55
odegree39   0   0  0.545   3       1.00
odegree40   0   0  0.455   2       1.00
odegree41   0   0  0.360   2       1.00
odegree42   0   0  0.320   2       1.00
odegree43   0   0  0.385   2       1.00
odegree44   1   0  0.435   2       0.81
odegree45   0   0  0.200   2       1.00
odegree46   0   0  0.100   2       1.00
odegree47   0   0  0.045   1       1.00
odegree48   0   0  0.025   1       1.00
odegree49   0   0  0.015   1       1.00

Goodness-of-fit for edgewise shared partner 

      obs min    mean max MC p-value
esp0  442 395 428.010 459       0.33
