
Goodness-of-fit for in-degree 

           obs min   mean max MC p-value
idegree1    62  48 59.710  71       0.65
idegree2    33  24 38.980  50       0.28
idegree3    39  13 24.440  41       0.02
idegree4    23  11 20.685  32       0.67
idegree5    12   7 15.790  25       0.43
idegree6    12   6 11.255  21       0.80
idegree7     9   6 13.765  22       0.18
idegree8    11   3 11.420  22       1.00
idegree9    11   3  8.300  17       0.36
idegree10    7   1  6.225  14       0.94
idegree11    1   0  5.800  14       0.02
idegree12    3   0  4.450  12       0.67
idegree13    1   0  3.230   9       0.41
idegree14    2   0  2.245   6       1.00
idegree15    1   0  1.340   6       1.00
idegree16    1   0  0.785   4       1.00
idegree17    1   0  0.670   4       1.00
idegree18    1   0  0.685   3       1.00
idegree19    3   0  0.540   3       0.02
idegree20    1   0  0.475   3       0.77
idegree21    1   0  0.680   4       1.00
idegree22    1   0  0.845   3       1.00
idegree23    0   0  0.755   3       0.85
idegree24    1   0  0.890   4       1.00
idegree25    1   0  0.830   4       1.00
idegree26    0   0  0.795   3       0.82
idegree27    2   0  1.155   4       0.63
idegree28    1   0  1.480   4       1.00
idegree29    2   0  1.300   5       0.80
idegree30    0   0  1.275   4       0.51
idegree31    0   0  1.175   4       0.51
idegree32    1   0  0.960   4       1.00
idegree33    0   0  0.675   3       1.00
idegree34    2   0  0.730   4       0.28
idegree35    0   0  0.500   3       1.00
idegree36    0   0  0.485   3       1.00
idegree37    0   0  0.485   4       1.00
idegree38    0   0  0.570   4       1.00
idegree39    1   0  0.765   3       1.00
idegree40    2   0  0.595   3       0.26
idegree41    0   0  0.650   3       1.00
idegree42    0   0  0.740   5       0.98
idegree43    3   0  1.035   4       0.13
idegree44    1   0  1.120   4       1.00
idegree45    1   0  1.135   5       1.00
idegree46    1   0  1.175   6       1.00
idegree47    1   0  0.945   4       1.00
idegree48    0   0  0.740   3       0.90
idegree49    0   0  0.610   2       1.00
idegree50    1   0  0.540   3       0.82
idegree51    0   0  0.410   2       1.00
idegree52    1   0  0.360   3       0.65
idegree53    0   0  0.350   3       1.00
idegree54    0   0  0.255   2       1.00
idegree55    0   0  0.200   2       1.00
idegree56    0   0  0.100   1       1.00
idegree57    0   0  0.120   1       1.00
idegree58    0   0  0.185   2       1.00
idegree59    0   0  0.335   2       1.00
idegree60    0   0  0.295   2       1.00
idegree61    1   0  0.215   2       0.39
idegree62    1   0  0.255   2       0.42
idegree63    0   0  0.290   2       1.00
idegree64    1   0  0.320   2       0.58
idegree65    0   0  0.305   2       1.00
idegree66    0   0  0.435   3       1.00
idegree67    0   0  0.305   2       1.00
idegree68    0   0  0.240   2       1.00
