
Goodness-of-fit for in-degree 

           obs min   mean max MC p-value
idegree1    62  31 55.785  75       0.54
idegree2    33  31 45.835  59       0.02
idegree3    39  23 31.085  43       0.20
idegree4    23  12 22.005  36       0.90
idegree5    12   6 17.875  29       0.12
idegree6    12   6 13.110  25       0.97
idegree7     9   3 10.565  18       0.73
idegree8    11   2  8.145  15       0.35
idegree9    11   1  6.520  13       0.08
idegree10    7   0  5.020  12       0.48
idegree11    1   0  4.075  12       0.17
idegree12    3   0  3.160   9       1.00
idegree13    1   0  2.025   6       0.72
idegree14    2   0  1.565   5       0.96
idegree15    1   0  1.135   5       1.00
idegree16    1   0  0.775   4       1.00
idegree17    1   0  0.715   3       1.00
idegree18    1   0  0.630   3       0.97
idegree19    3   0  0.570   4       0.05
idegree20    1   0  0.630   3       0.91
idegree21    1   0  0.465   3       0.74
idegree22    1   0  0.575   4       0.90
idegree23    0   0  0.590   3       1.00
idegree24    1   0  0.760   3       1.00
idegree25    1   0  0.700   3       1.00
idegree26    0   0  0.925   4       0.80
idegree27    2   0  1.005   5       0.49
idegree28    1   0  1.030   4       1.00
idegree29    2   0  1.295   4       0.80
idegree30    0   0  1.245   5       0.62
idegree31    0   0  1.315   4       0.48
idegree32    1   0  1.190   4       1.00
idegree33    0   0  0.935   4       0.68
idegree34    2   0  0.640   3       0.24
idegree35    0   0  0.605   3       1.00
idegree36    0   0  0.595   3       1.00
idegree37    0   0  0.640   3       1.00
idegree38    0   0  0.575   3       1.00
idegree39    1   0  0.690   3       1.00
idegree40    2   0  0.690   3       0.24
idegree41    0   0  0.905   5       0.77
idegree42    0   0  0.960   5       0.79
idegree43    3   0  0.965   4       0.16
idegree44    1   0  1.120   4       1.00
idegree45    1   0  1.160   5       1.00
idegree46    1   0  1.180   5       1.00
idegree47    1   0  0.985   5       1.00
idegree48    0   0  0.825   3       0.90
idegree49    0   0  0.610   4       1.00
idegree50    1   0  0.455   3       0.75
idegree51    0   0  0.425   3       1.00
idegree52    1   0  0.270   2       0.50
idegree53    0   0  0.215   2       1.00
idegree54    0   0  0.110   2       1.00
idegree55    0   0  0.105   1       1.00
idegree56    0   0  0.120   2       1.00
idegree57    0   0  0.120   1       1.00
idegree58    0   0  0.175   2       1.00
idegree59    0   0  0.215   2       1.00
idegree60    0   0  0.250   2       1.00
idegree61    1   0  0.335   2       0.63
idegree62    1   0  0.275   2       0.52
idegree63    0   0  0.425   3       1.00
idegree64    1   0  0.360   3       0.63
idegree65    0   0  0.355   3       1.00
idegree66    0   0  0.400   2       1.00
idegree67    0   0  0.325   2       1.00
idegree68    0   0  0.260   2       1.00
idegree69    0   0  0.180   2       1.00
idegree70    0   0  0.145   3       1.00
idegree71    0   0  0.115   1       1.00
idegree72    1   0  0.115   1       0.23
idegree73    0   0  0.140   2       1.00
idegree74    1   0  0.170   1       0.34
idegree75    0   0  0.195   2       1.00
idegree76    0   0  0.235   2       1.00
idegree77    0   0  0.235   2       1.00
idegree78    0   0  0.245   2       1.00
idegree79    0   0  0.215   2       1.00
idegree80    0   0  0.125   1       1.00
idegree81    1   0  0.120   1       0.24
idegree82    0   0  0.080   1       1.00
idegree83    0   0  0.050   2       1.00
idegree84    0   0  0.025   1       1.00
idegree85    0   0  0.015   1       1.00
idegree89    0   0  0.005   1       1.00
idegree90    0   0  0.010   1       1.00
idegree91    0   0  0.010   1       1.00
idegree92    0   0  0.015   1       1.00
